paper_id;entity_text;entity_type;normalized_name;confidence_score;model_used;source_section
P06;Department of Orthopaedics;ORGANIZATION;Department of Orthopaedics;0.9975;dslim/bert-base-NER;acknowledgements
P06;Lanzhou University Second;ORGANIZATION;Lanzhou University Second;0.8071;dslim/bert-base-NER;acknowledgements
P06;Hospital;ORGANIZATION;Hospital;0.7998;dslim/bert-base-NER;acknowledgements
P06;Nanchong Central Hospital;ORGANIZATION;Nanchong Central Hospital;0.9742;dslim/bert-base-NER;acknowledgements
P06;Second Clinical Institute of North Sichuan Medical College;ORGANIZATION;Second Clinical Institute of North Sichuan Medical College;0.8322;dslim/bert-base-NER;acknowledgements
P06;North Sichuan Medical College;ORGANIZATION;North Sichuan Medical College;0.8904;dslim/bert-base-NER;acknowledgements
P07;Projekt DEAL;ORGANIZATION;Projekt DEAL;0.9938;dslim/bert-base-NER;acknowledgements
P09;Qatar National Library;ORGANIZATION;Qatar National Library;0.9989;dslim/bert-base-NER;acknowledgements
P10;##ippert;PERSON;##ippert;0.8834;dslim/bert-base-NER;acknowledgements
P10;Taiwan Ministry of Education;ORGANIZATION;Taiwan Ministry of Education;0.9879;dslim/bert-base-NER;acknowledgements
P10;Projekt DEAL;ORGANIZATION;Projekt DEAL;0.9763;dslim/bert-base-NER;acknowledgements
P11;French Handball Federation;ORGANIZATION;French Handball Federation;0.9926;dslim/bert-base-NER;acknowledgements
P11;French Society of Sports Physical Therapist;ORGANIZATION;French Society of Sports Physical Therapist;0.9969;dslim/bert-base-NER;acknowledgements
P11;SFMKS Lab;ORGANIZATION;SFMKS Lab;0.9962;dslim/bert-base-NER;acknowledgements
P11;Inter - University Laboratory of Human Movement Biology;ORGANIZATION;Inter - University Laboratory of Human Movement Biology;0.9978;dslim/bert-base-NER;acknowledgements
P11;LIBM;ORGANIZATION;LIBM;0.9948;dslim/bert-base-NER;acknowledgements
P11;Savoie Mont - Blanc University;ORGANIZATION;Savoie Mont - Blanc University;0.9817;dslim/bert-base-NER;acknowledgements
P11;##linique du Sport Paris;ORGANIZATION;##linique du Sport Paris;0.9626;dslim/bert-base-NER;acknowledgements
