paper_id,doi,external_keywords,funding_project,grant_id,source
P01,10.1186/s12891-021-04976-1,Knee dislocations|Research|Anterior Cruciate Ligament Injuries|Diseases of the musculoskeletal system|Knee Injuries|Magnetic Resonance Imaging|Multiple ligaments injuries|03 medical and health sciences|0302 clinical medicine|RC925-935|Humans|Posterior Cruciate Ligament|MRI|Value|Retrospective Studies,,,OpenAIRE API
P01,10.1186/s12891-021-04976-1,Knee dislocations|Research|Anterior Cruciate Ligament Injuries|Diseases of the musculoskeletal system|Knee Injuries|Magnetic Resonance Imaging|Multiple ligaments injuries|03 medical and health sciences|0302 clinical medicine|RC925-935|Humans|Posterior Cruciate Ligament|MRI|Value|Retrospective Studies,,,OpenAIRE API
P02,10.1186/s10195-020-00557-5,"Adult|Male|Soft Tissue Injuries|Adolescent|Knee Dislocation|Knee Joint|Knee Injuries|Primary repair|Young Adult|03 medical and health sciences|0302 clinical medicine|Humans|Range of Motion, Articular|Aged|Retrospective Studies|Orthopedic surgery|2. Zero hunger|Multiligament knee injuries|Ligaments|Knee dislocations|Middle Aged|Plastic Surgery Procedures|3. Good health|Treatment Outcome|Staged surgery|Ligaments, Articular|Original Article|Female|RD701-811",,,OpenAIRE API
P02,10.1186/s10195-020-00557-5,"Adult|Male|Soft Tissue Injuries|Adolescent|Knee Dislocation|Knee Joint|Knee Injuries|Primary repair|Young Adult|03 medical and health sciences|0302 clinical medicine|Humans|Range of Motion, Articular|Aged|Retrospective Studies|Orthopedic surgery|2. Zero hunger|Multiligament knee injuries|Ligaments|Knee dislocations|Middle Aged|Plastic Surgery Procedures|3. Good health|Treatment Outcome|Staged surgery|Ligaments, Articular|Original Article|Female|RD701-811",,,OpenAIRE API
P03,10.1007/s12178-023-09875-7,3. Good health,,,OpenAIRE API
P03,10.1007/s12178-023-09875-7,3. Good health,,,OpenAIRE API
P04,10.12775/JEHS.2023.38.01.006,03 medical and health sciences|0302 clinical medicine|meniscus|patellar ligament|GV557-1198.995|volleyball|R|Medicine|acute knee injury|L|jumper's knee|Education|Sports,,,OpenAIRE API
P04,10.12775/JEHS.2023.38.01.006,03 medical and health sciences|0302 clinical medicine|meniscus|patellar ligament|GV557-1198.995|volleyball|R|Medicine|acute knee injury|L|jumper's knee|Education|Sports,,,OpenAIRE API
P05,10.3390/ijerph17218208,knee abduction|Leg|Knee Joint|injury prevention|Anterior Cruciate Ligament Injuries|anterior cruciate ligament|Review|single-leg squat|knee kinetics|Biomechanical Phenomena|03 medical and health sciences|0302 clinical medicine|sport performance|Humans|Knee|Exercise,,,OpenAIRE API
P05,10.3390/ijerph17218208,knee abduction|Leg|Knee Joint|injury prevention|Anterior Cruciate Ligament Injuries|anterior cruciate ligament|Review|single-leg squat|knee kinetics|Biomechanical Phenomena|03 medical and health sciences|0302 clinical medicine|sport performance|Humans|Knee|Exercise,,,OpenAIRE API
