paper_id,openalex_work_uri,doi,source
P01,https://semopenalex.org/work/W4205961923,10.1186/s12891-021-04976-1,SemOpenAlex SPARQL
P02,https://semopenalex.org/work/W3092300428,10.1186/s10195-020-00557-5,SemOpenAlex SPARQL
P03,https://semopenalex.org/work/W4389738638,10.1007/s12178-023-09875-7,SemOpenAlex SPARQL
P04,https://semopenalex.org/work/W4379548885,10.12775/JEHS.2023.38.01.006,SemOpenAlex SPARQL
P05,https://semopenalex.org/work/W3096828126,10.3390/ijerph17218208,SemOpenAlex SPARQL
P06,https://semopenalex.org/work/W3198385968,10.3389/fsurg.2021.713055,SemOpenAlex SPARQL
P07,https://semopenalex.org/work/W4308462604,10.1007/s00068-022-02155-y,SemOpenAlex SPARQL
P08,https://semopenalex.org/work/W3151246717,10.3390/ijerph18073826,SemOpenAlex SPARQL
P09,https://semopenalex.org/work/W3023690833,10.1007/s12178-020-09631-1,SemOpenAlex SPARQL
P10,https://semopenalex.org/work/W3164001868,10.1186/s13047-021-00480-w,SemOpenAlex SPARQL
P11,https://semopenalex.org/work/W4281691142,10.3389/fspor.2022.902886,SemOpenAlex SPARQL
P12,https://semopenalex.org/work/W4213258542,10.2519/jospt.2022.0301,SemOpenAlex SPARQL
P13,https://semopenalex.org/work/W4386845470,10.1007/s40279-023-01925-x,SemOpenAlex SPARQL
P14,https://semopenalex.org/work/W4220766688,10.2106/JBJS.RVW.21.00183,SemOpenAlex SPARQL
P15,https://semopenalex.org/work/W4281625619,10.2519/jospt.2022.10870,SemOpenAlex SPARQL
P16,https://semopenalex.org/work/W4322616850,10.1097/JSM.0000000000001131,SemOpenAlex SPARQL
P17,https://semopenalex.org/work/W4404768718,10.2519/jospt.2024.0302,SemOpenAlex SPARQL
P18,https://semopenalex.org/work/W4307430674,10.1530/EOR-22-0072,SemOpenAlex SPARQL
P19,https://semopenalex.org/work/W4387859971,10.7759/cureus.47459,SemOpenAlex SPARQL
P20,https://semopenalex.org/work/W4389226948,10.2519/jospt.2023.0303,SemOpenAlex SPARQL
P21,https://semopenalex.org/work/W4401591056,10.1007/s40279-024-02051-y,SemOpenAlex SPARQL
P22,https://semopenalex.org/work/W4408976458,10.7759/cureus.81463,SemOpenAlex SPARQL
P23,https://semopenalex.org/work/W4399326598,10.1007/s12178-024-09907-w,SemOpenAlex SPARQL
P24,https://semopenalex.org/work/W4310462146,10.1007/s12178-022-09794-z,SemOpenAlex SPARQL
P25,https://semopenalex.org/work/W4308331395,10.3390/ijerph192114426,SemOpenAlex SPARQL
P26,https://semopenalex.org/work/W2018934852,10.1007/s00264-009-0784-3,SemOpenAlex SPARQL
P27,https://semopenalex.org/work/W1851010948,10.1155/2015/842804,SemOpenAlex SPARQL
P28,https://semopenalex.org/work/W1854658087,10.4085/1062-6050-47.3.06,SemOpenAlex SPARQL
P29,https://semopenalex.org/work/W2904890641,10.1111/sms.13353,SemOpenAlex SPARQL
P30,https://semopenalex.org/work/W2109374215,10.4085/1062-6050-46.5.500,SemOpenAlex SPARQL
