paper_id;topic_id;topic_label;top_terms;confidence_score;threshold;model_used
P01;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P02;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P03;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P04;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P05;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P06;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P07;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P08;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P09;T00;Knee / Injuries / Ligament;knee, injuries, ligament, meniscus, acl, acute, injury, return, mri, treatment;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P10;T01;Ankle / Ankle Instability / Instability;ankle, ankle instability, instability, chronic, chronic ankle, group, therapy, patients, strength, studies;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
P11;T01;Ankle / Ankle Instability / Instability;ankle, ankle instability, instability, chronic, chronic ankle, group, therapy, patients, strength, studies;1.0;0.4;BERTopic (sentence-transformers/all-MiniLM-L6-v2)
