,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
P01,0.99999994,0.91801757,0.86363906,0.8711385,0.8415422,0.8763718,0.8736071,0.8705035,0.83564526,0.8528128,0.85119134,0.82468486,0.79705983,0.81534016,0.8516989,0.90156406,0.80949485,0.84193105,0.8234169,0.7954322,0.8231268,0.82853836,0.8509234,0.84049106,0.8345605,0.81526977,0.7971633,0.8455746,0.8504396,0.87359166
P02,0.91801757,1.0000006,0.8791768,0.88631094,0.86692894,0.8885062,0.88223493,0.86865276,0.85814625,0.8649704,0.8714634,0.81973046,0.80280644,0.83299273,0.8571513,0.88110083,0.82147694,0.87089086,0.8555075,0.8175788,0.8488467,0.85719025,0.8651879,0.8615293,0.8462276,0.8428374,0.8124498,0.8658053,0.8450144,0.87916285
P03,0.86363906,0.8791768,1.0,0.9042118,0.8424024,0.85461533,0.8523374,0.8861676,0.8569224,0.84705883,0.8569502,0.8062363,0.81967854,0.8549197,0.83746487,0.8585541,0.813721,0.84263915,0.8674127,0.83064646,0.84978575,0.86114,0.9064679,0.86619174,0.83969223,0.8357023,0.8131443,0.8370829,0.8448348,0.8444236
P04,0.8711385,0.88631094,0.9042118,1.0,0.8572196,0.8595999,0.86155856,0.897774,0.8893428,0.8740098,0.8745371,0.84294724,0.84566176,0.869228,0.89250255,0.8985554,0.83920956,0.86910886,0.8833804,0.8251714,0.85307366,0.8773883,0.9106988,0.8715758,0.8678775,0.8509355,0.8357524,0.8655088,0.85948056,0.8824284
P05,0.8415422,0.86692894,0.8424024,0.8572196,1.0000004,0.87617373,0.8616093,0.8557459,0.8597991,0.8739581,0.88956505,0.81867814,0.8233516,0.8247327,0.8665146,0.85395694,0.82393897,0.8470693,0.8594784,0.83993876,0.8535901,0.8638777,0.8436113,0.845557,0.8428591,0.8350416,0.843117,0.86059016,0.84272695,0.84175074
P06,0.8763718,0.8885062,0.85461533,0.8595999,0.87617373,1.0000002,0.8953239,0.85619026,0.86805755,0.88418794,0.88395023,0.79209286,0.7998663,0.81528425,0.8543723,0.8617915,0.83106625,0.85940164,0.860661,0.84665304,0.85816693,0.8738875,0.85247713,0.837368,0.86072457,0.8440323,0.8295948,0.8627036,0.831921,0.8686228
P07,0.8736071,0.88223493,0.8523374,0.86155856,0.8616093,0.8953239,0.9999999,0.85420775,0.8634865,0.8781458,0.87002146,0.80973965,0.8098764,0.8209777,0.8690275,0.8684311,0.8478028,0.87497103,0.84527135,0.8591064,0.850021,0.85816956,0.873123,0.83461076,0.8458706,0.83414024,0.82130224,0.87576675,0.84952086,0.8690155
P08,0.8705035,0.86865276,0.8861676,0.897774,0.8557459,0.85619026,0.85420775,1.0000002,0.88324076,0.87138194,0.867246,0.81488204,0.85729086,0.8483451,0.8834992,0.8820003,0.82337373,0.84794056,0.8816745,0.82504886,0.8464043,0.8599861,0.8603747,0.87421656,0.8561271,0.833792,0.8327641,0.8496671,0.84505904,0.8738274
P09,0.83564526,0.85814625,0.8569224,0.8893428,0.8597991,0.86805755,0.8634865,0.88324076,1.0,0.91127115,0.90003055,0.82094395,0.8602028,0.8755041,0.88451767,0.87421715,0.83157897,0.87287974,0.8559607,0.8410815,0.86636037,0.8597296,0.87348324,0.85780305,0.871084,0.8501471,0.8578726,0.86934084,0.8455505,0.87645435
P10,0.8528128,0.8649704,0.84705883,0.8740098,0.8739581,0.88418794,0.8781458,0.87138194,0.91127115,1.0,0.92545515,0.8187613,0.8306577,0.8425538,0.8961566,0.87101984,0.8385948,0.86834586,0.8549257,0.83698577,0.85987526,0.88354075,0.853698,0.8315317,0.8629465,0.8371959,0.85455096,0.91038257,0.8569805,0.8868911
P11,0.85119134,0.8714634,0.8569502,0.8745371,0.88956505,0.88395023,0.87002146,0.867246,0.90003055,0.92545515,0.9999998,0.81999904,0.8288346,0.83931583,0.87671,0.876024,0.8469924,0.89885867,0.8647892,0.84812593,0.88111156,0.89248043,0.87311983,0.8588263,0.86948615,0.8372786,0.8716407,0.8970934,0.8470378,0.8838654
P12,0.82468486,0.81973046,0.8062363,0.84294724,0.81867814,0.79209286,0.80973965,0.81488204,0.82094395,0.8187613,0.81999904,0.99999994,0.8800795,0.83731973,0.87013125,0.85770833,0.8649631,0.82161367,0.8460974,0.82847184,0.82695025,0.8459188,0.83463275,0.81940544,0.81840354,0.791229,0.82015556,0.81338465,0.8722424,0.8355397
P13,0.79705983,0.80280644,0.81967854,0.84566176,0.8233516,0.7998663,0.8098764,0.85729086,0.8602028,0.8306577,0.8288346,0.8800795,1.0000005,0.85652715,0.88753515,0.8563466,0.8162777,0.82614315,0.84849775,0.8147054,0.8469976,0.85642195,0.84237456,0.8253766,0.82893664,0.8098009,0.83439153,0.8363833,0.8767872,0.83834904
P14,0.81534016,0.83299273,0.8549197,0.869228,0.8247327,0.81528425,0.8209777,0.8483451,0.8755041,0.8425538,0.83931583,0.83731973,0.85652715,1.0,0.8763481,0.8705774,0.8263836,0.84368265,0.84632003,0.8095129,0.83095664,0.83013684,0.8483011,0.8296228,0.8062817,0.8241607,0.8280915,0.84060806,0.821756,0.8544919
P15,0.8516989,0.8571513,0.83746487,0.89250255,0.8665146,0.8543723,0.8690275,0.8834992,0.88451767,0.8961566,0.87671,0.87013125,0.88753515,0.8763481,0.9999998,0.90393347,0.84573954,0.8590358,0.87093866,0.83636975,0.8701128,0.8769354,0.86531717,0.8578737,0.857873,0.82674944,0.8397492,0.8765709,0.87999475,0.9009752
P16,0.90156406,0.88110083,0.8585541,0.8985554,0.85395694,0.8617915,0.8684311,0.8820003,0.87421715,0.87101984,0.876024,0.85770833,0.8563466,0.8705774,0.90393347,0.9999998,0.84603477,0.8744657,0.86469215,0.8262866,0.86556494,0.8636998,0.87159353,0.8638369,0.8716159,0.84453756,0.8441042,0.8891959,0.8829288,0.888764
P17,0.80949485,0.82147694,0.813721,0.83920956,0.82393897,0.83106625,0.8478028,0.82337373,0.83157897,0.8385948,0.8469924,0.8649631,0.8162777,0.8263836,0.84573954,0.84603477,1.0000005,0.8578482,0.8645789,0.91457003,0.84138787,0.8473973,0.83816534,0.8484281,0.8291445,0.82602245,0.827006,0.8298836,0.8469493,0.8482531
P18,0.84193105,0.87089086,0.84263915,0.86910886,0.8470693,0.85940164,0.87497103,0.84794056,0.87287974,0.86834586,0.89885867,0.82161367,0.82614315,0.84368265,0.8590358,0.8744657,0.8578482,1.0000005,0.8683793,0.8439753,0.8702999,0.87938744,0.8677294,0.85565954,0.8450561,0.84427816,0.83273935,0.89100784,0.8617073,0.88349384
