,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
P01,1.0,0.6072038,0.5605653,0.45780075,0.39408582,0.38664532,0.3302498,0.45978242,0.3858643,0.28089747,0.32890967,0.24054305,0.22825561,0.30875748,0.24931444,0.51184255,0.19362795,0.2787898,0.322775,0.21829146,0.24027541,0.3191502,0.36557597,0.4346941,0.2977324,0.25966728,0.25378692,0.25931785,0.25239137,0.338207
P02,0.6072038,1.0,0.63499,0.5631908,0.56405807,0.54960406,0.4888184,0.56284606,0.5311514,0.3920566,0.4528158,0.32844394,0.27630857,0.34792915,0.3474569,0.30931884,0.32321966,0.46122938,0.47380167,0.3440108,0.35834554,0.4402079,0.48407668,0.57354015,0.294697,0.30155444,0.23471217,0.3659181,0.3374822,0.3674829
P03,0.5605653,0.63499,1.0000002,0.6727852,0.39620063,0.37879974,0.4462245,0.6316724,0.5702274,0.40444946,0.3935293,0.41970587,0.37979633,0.45528042,0.3436368,0.42814708,0.30812287,0.3925205,0.551051,0.34045723,0.42021173,0.47760993,0.6201874,0.57512546,0.3868391,0.32829684,0.25744128,0.37150186,0.3828562,0.44003758
P04,0.45780075,0.5631908,0.6727852,1.0000002,0.5063452,0.42638427,0.39393145,0.6816031,0.69645715,0.55456865,0.51894355,0.5408994,0.54304826,0.53782636,0.47817308,0.56732893,0.48710063,0.4804719,0.6112831,0.43699843,0.46719474,0.5637456,0.6821445,0.60951465,0.5981293,0.4018597,0.36589742,0.48685536,0.57969534,0.52892137
P05,0.39408582,0.56405807,0.39620063,0.5063452,1.0000001,0.5496745,0.39039046,0.592801,0.4703021,0.48597547,0.6140256,0.35581487,0.45132366,0.40512848,0.44521263,0.32953936,0.42848194,0.4538869,0.45891923,0.45008445,0.3884436,0.43002415,0.36854383,0.5247103,0.3122766,0.3155944,0.40898037,0.5348328,0.42305514,0.3327581
P06,0.38664532,0.54960406,0.37879974,0.42638427,0.5496745,1.0000001,0.5180303,0.4555009,0.49933213,0.5386987,0.5843849,0.25485936,0.25519136,0.33806747,0.35224882,0.28802258,0.45151997,0.47962308,0.38933218,0.53737926,0.4294196,0.50880486,0.35718083,0.36637148,0.40299982,0.39761055,0.32600278,0.43377042,0.26557598,0.2852522
P07,0.3302498,0.4888184,0.4462245,0.39393145,0.39039046,0.5180303,1.0,0.40221065,0.44429737,0.40180135,0.41770947,0.2228143,0.2323055,0.38079962,0.24855414,0.1585114,0.33403227,0.36296177,0.42575714,0.45363533,0.30908757,0.27670333,0.4869647,0.33560106,0.28457797,0.3455784,0.22893323,0.37361366,0.2105444,0.24945202
P08,0.45978242,0.56284606,0.6316724,0.6816031,0.592801,0.4555009,0.40221065,0.9999999,0.64879763,0.5982133,0.5741761,0.51062095,0.58514506,0.432047,0.57471186,0.5204769,0.4703021,0.44823453,0.546134,0.45004526,0.45544714,0.5769224,0.55949163,0.6408273,0.511523,0.38632333,0.42549115,0.5277789,0.55350965,0.50663394
P09,0.3858643,0.5311514,0.5702274,0.69645715,0.4703021,0.49933213,0.44429737,0.64879763,1.0,0.66563857,0.6780226,0.5021376,0.5404743,0.48622984,0.4612329,0.54197633,0.51061153,0.5453132,0.5185285,0.47107497,0.5742625,0.6008182,0.5950375,0.645916,0.5536264,0.539366,0.5046335,0.5547841,0.5096942,0.51658887
P10,0.28089747,0.3920566,0.40444946,0.55456865,0.48597547,0.5386987,0.40180135,0.5982133,0.66563857,1.0000001,0.75202185,0.45303625,0.539065,0.41399106,0.62442183,0.4499482,0.56404024,0.582765,0.47048277,0.51315165,0.560783,0.63647544,0.42711154,0.45406598,0.56075114,0.45742935,0.52090406,0.7169466,0.53557056,0.49375218
P11,0.32890967,0.4528158,0.3935293,0.51894355,0.6140256,0.5843849,0.41770947,0.5741761,0.6780226,0.75202185,1.0000002,0.38296458,0.50248444,0.40230918,0.49224678,0.42349008,0.5546685,0.5847734,0.47990423,0.50940883,0.5331609,0.5200398,0.42301404,0.5735555,0.47639778,0.42070392,0.602368,0.70857465,0.43979844,0.44931036
