source_paper_id,source_title,rank,similar_paper_id,similar_title,similarity_score
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,1,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.607204
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,2,P03,Non-operative Management of Acute Knee Injuries,0.560565
P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,3,P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,0.511843
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,1,P03,Non-operative Management of Acute Knee Injuries,0.63499
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,2,P01,The accuracy of MRI in diagnosing and classifying acute traumatic multiple ligament knee injuries,0.607204
P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,3,P24,Return to Play after Posterior Cruciate Ligament Injuries,0.57354
P03,Non-operative Management of Acute Knee Injuries,1,P04,Knee injuries in volleyball - a review of the articles,0.672785
P03,Non-operative Management of Acute Knee Injuries,2,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.63499
P03,Non-operative Management of Acute Knee Injuries,3,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.631672
P04,Knee injuries in volleyball - a review of the articles,1,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.696457
P04,Knee injuries in volleyball - a review of the articles,2,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.682145
P04,Knee injuries in volleyball - a review of the articles,3,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.681603
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.614026
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,2,P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",0.592801
P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,3,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.564058
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.584385
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,2,P05,Dynamic Knee Valgus in Single-Leg Movement Tasks. Potentially Modifiable Factors and Exercise Training Options. A Literature Review,0.549675
P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,3,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.549604
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,1,P06,Clinical and Radiological Changes of Ankle in Knee Osteoarthritis With Varus After Total Knee Arthroplasty: A Systematic Review,0.51803
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,2,P02,Acute primary repair of extraarticular ligaments and staged surgery in multiple ligament knee injuries,0.488818
P07,Prognostic factors for the management of chondral defects of the knee and ankle joint: a systematic review,3,P23,"Meniscus Tears in Elite Athletes: Treatment Considerations, Clinical Outcomes, and Return to Play",0.486965
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",1,P04,Knee injuries in volleyball - a review of the articles,0.681603
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",2,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.648798
P08,"Stiff Landings, Core Stability, and Dynamic Knee Valgus: A Systematic Review on Documented ACL Ruptures in Male and Female Athletes",3,P24,Return to Play after Posterior Cruciate Ligament Injuries,0.640827
P09,Return to Play After a Lateral Ligament Ankle Sprain,1,P04,Knee injuries in volleyball - a review of the articles,0.696457
P09,Return to Play After a Lateral Ligament Ankle Sprain,2,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.678023
P09,Return to Play After a Lateral Ligament Ankle Sprain,3,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.665639
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,1,P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,0.752022
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.716947
P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.665639
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,1,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.752022
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,2,P28,Ankle Strength and Force Sense After a Progressive 6-Week Strength-Training Program in People With Functional Ankle Instability,0.708575
P11,Which Functional Tests and Self-Reported Questionnaires Can Help Clinicians Make Valid Return to Sport Decisions in Patients With Chronic Ankle Instability? A Narrative Review and Expert Opinion,3,P09,Return to Play After a Lateral Ligament Ankle Sprain,0.678023
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,1,P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,0.786467
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,2,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.714205
P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.571441
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,1,P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,0.786467
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,2,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.771141
P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,3,P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,0.619483
P14,Calf Strain in Athletes,1,P04,Knee injuries in volleyball - a review of the articles,0.537826
P14,Calf Strain in Athletes,2,P19,A Review of Patellar Tendinopathy in Athletes Involved in Jumping Sports,0.513447
P14,Calf Strain in Athletes,3,P12,Hamstring Strain Injury in Athletes: Clinical Practice Guidelines Linked to the ICF,0.500865
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,1,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.639817
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,2,P10,The epidemiology of chronic ankle instability with perceived ankle instability - a systematic review,0.624422
P15,Risk Factors for Quadriceps Muscle Strain Injuries in Sport: A Systematic Review,3,P13,Exploring the Role of Sprint Biomechanics in Hamstring Strain Injuries: A Current Opinion on Existing Concepts and Evidence,0.619483
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,1,P25,Plantar Fasciitis in Soccer Players - A Systematic Review,0.656525
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,2,P30,Value of Sonography Combined With Clinical Assessment to Evaluate Muscle Injury Severity in Athletes,0.603249
P16,Indirect Rectus Femoris Injury Mechanisms in Professional Soccer Players: Video Analysis and Magnetic Resonance Imaging Findings,3,P29,Does a bounding exercise program prevent hamstring injuries in adult male soccer players? A cluster-RCT,0.567807
